0	0	0	1
1	1	0	1
2	2	0	1
3	3	0	1
4	4	0	1
5	0	1	1
6	1	1	100
7	2	1	100
8	3	1	-400
9	4	1	100
10	0	2	100
11	1	2	100
12	2	2	100
13	3	2	-400
14	4	2	100
15	0	3	100
16	1	3	100
17	2	3	100
18	3	3	-400
19	4	3	100
20	0	4	100
21	1	4	1
22	2	4	1
23	3	4	100
24	4	4	100
25	0	5	-400
26	1	5	100
27	2	5	100
28	3	5	100
29	4	5	100
30	0	6	-400
31	1	6	100
32	2	6	100
33	3	6	100
34	4	6	100
35	0	7	-400
36	1	7	100
37	2	7	100
38	3	7	1
39	4	7	1
40	0	8	100
41	1	8	100
42	2	8	-400
43	3	8	100
44	4	8	100
45	0	9	100
46	1	9	100
47	2	9	-400
48	3	9	100
49	4	9	100
50	0	10	100
51	1	10	100
52	2	10	-400
53	3	10	100
54	4	10	100
55	0	11	1
56	1	11	1
57	2	11	1
58	3	11	1
59	4	11	1
60	0	12	1
